fid,ID,COD_SET_ZO,COD_QDR_ZO,COD_LOG_ZO,COD_CNDM_Z,COD_LOTE_Z,SGL_SUBP_E,SGL_DSTR_E,COD_TSTD_Z,IND_VRFC_E,IND_EXCL_I,SGL_ZONA_0,COD_PRMR_0,SGL_LNDR_0,COD_TIP_LE,COD_LEGC_0,ANO_LEGC_0,IND_ADCA_C,SGL_ZONA_1,COD_PRMR_1,SGL_LNDR_1,COD_TIP__1,COD_LEGC_1,ANO_LEGC_1,SGL_ZONA_2,COD_PRMR_2,SGL_LNDR_2,COD_TIP__2,COD_LEGC_2,ANO_LEGC_2,SGL_ZONA_3,COD_PRMR_3,SGL_LNDR_3,COD_TIP__3,COD_LEGC_3,ANO_LEGC_3,SGL_ZONA_4,COD_PRMR_4,SGL_LNDR_4,COD_TIP__4,COD_LEGC_4,ANO_LEGC_4,SGL_ZONA_5,COD_PRMR_5,SGL_LNDR_5,COD_TIP__5,COD_LEGC_5,ANO_LEGC_5,COD_AREA_C,COD_AREA_L,COD_END_LO,COD_NUM_PO,COD_SIT,VALOR_MET_,VALOR_ME_1,NUM_PAV,SGL_ZON_UR,ANO_CONST,IND_EXCL_O,TXT_OBS_01,TXT_OBS_02,NOME_CID_E,NOME_EST_E,NOME_PAIS_,REG_LIM_AD,COD_QUAD,COD_ANO,COND,Lat_Y_,Long_X_
"1","262036380229000001","262","036","3802","00","0001",PA,CDU,"1",S,S,ZEPAM,"0",,,"0","0",S,QA,"12",,L,"16402","2016",MA,"5",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","400","140506",RUA BALNEARIO SAO JOSE,,"0","0","0",,U,,,LOTE PERTENCENTE A DUAS SUBPREFEITURAS (SO e PA).,,SAO PAULO,SAO PAULO,,SUL-SUDESTE,SEGUNDO QUADRIMESTRE,"2021","0",,
"2","258108235024000001","258","108","2350","00","0001",SO,CDU,"2",S,S,ZPDS,"0",,,"0","0",S,QA,"12",,L,"16402","2016",MA,"5",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","35862","453295",AVENIDA IRMA DULCE,,"0","0","0",,U,,,,,SAO PAULO,SAO PAULO,,SUL-SUDESTE,SEGUNDO QUADRIMESTRE,"2021","0",,
"3","188060763829000102","188","060","7638","00","0102",PJ,JAR,"1",S,S,ZCa,"0",,,"0","0",S,QA,"10",,,"0","0",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","859","1200",RUA ANTONIO CARDOSO NOGUEIRA,"922","2","0","0",,U,,,LOTE SEM GEOMETRIA NO GEOSAMPA.,,SAO PAULO,SAO PAULO,,NORTE,SEGUNDO QUADRIMESTRE,"2021","0",,
"4","134405749524000048","134","405","7495","00","0048",IT,IPA,"2",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","1755",RUA MANUEL DA SILVA RIO,"260","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,,LESTE 2,SEGUNDO QUADRIMESTRE,"2021","0",,
"6","163200720674000076","163","200","7206","00","0076",SO,CDU,"2",S,S,ZMA,"0",,,"0","0",S,QA,"12",,,"0","0",MA,"5",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","650","637",RUA MARIA ADELINA FRANCA WHITAKER,"450","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,,SUL/SUDESTE,SEGUNDO QUADRIMESTRE,"2021","0",,
"7","15226471824000098","152","264","7158","00","0098",SM,SRA,"3",S,S,ZMa,"0",,,"0","0",S,ZCa,"0",,,"0","0",QA,"10",,,"0","0",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0","589","639",AVENIDA SAPOPEMBA,"17400","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,,LESTE 2,SEGUNDO QUADRIMESTRE,"2021","0",,
"9","163075683132000068","163","075","6831","00","0068",SO,CDU,"1",S,S,ZMA,"0",,,"0","0",S,QA,"10",,,"0","0",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","500","500",RUA LUIZ VIANA,"300","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,,SUL/SUDESTE,SEGUNDO QUADRIMESTRE,"2021","0",,
"10","171179662682020000","171","179","6626","02","0000",CL,VAN,"2",S,S,ZC,"0",,,"0","0",S,QA,"5",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","17267","4769",RUA DOUTOR JAMES FERRAZ ALVIM,"271","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,,SUL SUDESTE,SEGUNDO QUADRIMESTRE,"2021","1",,
"12","133026646776000058","133","026","6467","00","0058",MP,JD,"1",S,S,ZEIS-3,"0","0",,"0","0",S,QA,"10",,L,"16402","2016",MA,"4",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","450","300",RUA VISTOSA DA MADRE DE DEUS,"498","2","0","0",,U,,,LOTE SEM GEOMETRIA NO GEOSAMPA.,,SAO PAULO,SAO PAULO,,LESTE 2,SEGUNDO QUADRIMESTRE,"2021","0",,
"13","152090638633000032","152","090","6386","00","0032",SB,SAP,"1",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","1125","375",RUA NELSON DE OLIVEIRA,"53","2","0","0",,U,,,,,SAO PAULO,SAO PAULO,,LESTE 1,SEGUNDO QUADRIMESTRE,"2021","0",,
